QBfffffffffff	TimeUS	Health	D0	D45	D90	D135	D180	D225	D270	D315	DUp	CAn	CDis
PRX	51902522	2	2.27	0	5.03	0	25.99	0	25.41	0	0	0	2.27
PRX	52002472	2	2.96	0	5.06	0	25.99	0	25.85	0	0	0	2.96
PRX	52102409	2	3.55	0	5.15	0	25.99	0	25.96	0	0	0	3.55
PRX	52202378	2	4.29	0	5.26	0	25.99	0	14.48	0	0	0	4.29
PRX	52302454	2	5.47	0	5.35	0	25.99	0	23.12	0	0	90	5.35
PRX	52402450	2	6.35	0	5.58	0	25.99	0	25.28	0	0	90	5.58
PRX	52502536	2	7.15	0	5.89	0	25.99	0	25.91	0	0	90	5.89
PRX	52602441	2	7.79	0	6.18	0	25.99	0	25.97	0	0	90	6.18
PRX	52702444	2	8.63	0	6.52	0	25.99	0	21.24	0	0	90	6.52
PRX	52802487	2	9.27	0	6.81	0	25.26	0	24.81	0	0	90	6.81
PRX	52902474	2	10.02	0	7.13	0	25.81	0	25.7	0	0	90	7.13
PRX	53002454	2	10.82	0	21.28	0	25.95	0	21.11	0	0	0	10.82
PRX	53102557	2	11.33	0	25.41	0	24.09	0	24.77	0	0	0	11.33
PRX	53202461	2	11.95	0	25.85	0	25.76	0	12.91	0	0	0	11.95
PRX	53302478	2	12.11	0	25.96	0	25.94	0	11.45	0	0	270	11.45
PRX	53402363	2	12.02	0	25.99	0	25.98	0	22.36	0	0	0	12.02
PRX	53502764	2	15.52	0	25.99	0	24.87	0	25.09	0	0	0	15.52
PRX	53602902	2	16.34	0	25.99	0	25.71	0	25.77	0	0	0	16.34
PRX	53702475	2	12.95	0	25.99	0	25.92	0	16.06	0	0	0	12.95
PRX	53802361	2	11.82	0	25.99	0	25.98	0	8.53	0	0	270	8.53
PRX	53902432	2	18.78	0	18.73	0	25.99	0	6.26	0	0	270	6.26
PRX	54002454	2	12.44	0	17.01	0	25.99	0	5.4	0	0	270	5.4
PRX	54102542	2	10.12	0	12.99	0	25.99	0	5.26	0	0	270	5.26
PRX	54202454	2	8.97	0	12.08	0	25.99	0	5.13	0	0	270	5.13
