IMU,24794560,0.001396337,0.001065924,-0.0006938926,-0.101131,-0.1552037,-9.803013,0,0,42.08632,1,1,1000,1000
CTUN,24814644,0,0,0,0.3241083,0.0658396,0.0658396,0.07,0,0.19,0,0,0,
ATT,24814701,0,0.79,0,-0.31,0.18,0.17,0,1,,,,,
PRX,24814823,2,14.8,0,8.63,0,6.84,0,8.87,0,0,180,6.84,
IMU,24834673,-0.0008212114,0.00155143,0.000378454,-0.1342911,-0.1821246,-9.814762,0,0,42.08747,1,1,1000,1000
IMU,24874599,-0.0004191547,0.001965745,0.0002011652,-0.1093986,-0.1854072,-9.805557,0,0,42.08846,1,1,1000,1000
CTUN,24914536,0,0,0,0.3241083,0.06590542,0.06590542,0.12,0,0.19,0,0,0,
ATT,24914592,0,0.79,0,-0.3,0.18,0.17,0,1,,,,,
PRX,24914716,2,23.57,0,8.7,0,6.83,0,8.91,0,0,180,6.83,
IMU,24914724,0.000459703,0.0001765733,0.0006909787,-0.09694678,-0.1823342,-9.812809,0,0,42.08885,1,1,1000,1000
IMU,24954513,-0.001425156,0.0004873164,-0.0005611411,-0.09947251,-0.1568698,-9.800156,0,0,42.09013,1,1,1000,1000
IMU,24994504,-0.001169982,-0.0004291818,0.0009448455,-0.09611154,-0.1757206,-9.820735,0,0,42.09106,1,1,1000,1000
CTUN,25014541,0,0,0,0.3241083,0.06592581,0.06592581,0.07,0,0.19,0,0,0,
ATT,25014597,0,0.78,0,-0.3,0.18,0.17,0,1,,,,,
PRX,25014720,2,16.73,0,8.67,0,6.83,0,8.87,0,0,180,6.83,
IMU,25034546,0.0001582773,0.001337334,-0.0003235147,-0.09891383,-0.1731337,-9.808055,0,0,42.09129,1,1,1000,1000
IMU,25074458,0.000737971,0.0004144676,-0.001220119,-0.1063813,-0.1662904,-9.83931,0,0,42.09122,1,1,1000,1000
CTUN,25114598,0,0,0,0.3241083,0.06609922,0.06609922,0.11,0,0.19,0,0,0,
ATT,25114653,0,0.78,0,-0.3,0.18,0.17,0,1,,,,,
PRX,25114779,2,16.41,0,8.67,0,6.83,0,8.9,0,0,180,6.83,
IMU,25114786,-0.0008270611,-0.001409079,0.0009432363,-0.09552111,-0.1647723,-9.808418,0,0,42.09154,1,1,1000,1000
IMU,25154467,0.0001424634,-0.00158873,0.001428505,-0.1075532,-0.1495502,-9.809025,0,0,42.09161,1,1,1000,1000
IMU,25194338,-0.001738077,-0.002650635,0.0005936942,-0.1378826,-0.17043,-9.81458,0,0,42.09196,1,1,1000,1000
CTUN,25214822,0,0,0,0.3241083,0.06619203,0.06619203,0.03,0,0.19,0,0,0,
ATT,25214915,0,0.78,0,-0.3,0.18,0.17,0,1,,,,,
PRX,25215036,2,14.49,0,8.64,0,6.85,0,8.92,0,0,180,6.85,
IMU,25234412,-0.0004157048,0.00459973,-0.001956937,-0.1067457,-0.1767123,-9.825958,0,0,42.0929,1,1,1000,1000
IMU,25274559,0.0008243562,0.0008734474,-8.10E-05,-0.0972924,-0.161438,-9.834079,0,0,42.09494,1,1,1000,1000
CTUN,25314557,0,0,0,0.3241083,0.06626878,0.06626878,0.04,0,0.19,0,0,0,
ATT,25314612,0,0.78,0,-0.29,0.18,0.17,0,1,,,,,
PRX,25314734,2,14.39,0,8.64,0,6.83,0,8.9,0,0,180,6.83,
IMU,25314741,-0.0002369562,-0.0002146878,0.001604545,-0.1006602,-0.1737964,-9.814399,0,0,42.09834,1,1,1000,1000
IMU,25354499,0.0008640126,0.0009341422,-0.0004688402,-0.101483,-0.1867334,-9.826777,0,0,42.10062,1,1,1000,1000
IMU,25394798,-0.001350845,-0.0009580214,-6.04E-05,-0.1327936,-0.1865127,-9.796949,0,0,42.1024,1,1,1000,1000
CTUN,25414444,0,0,0,0.3241083,0.06638226,0.06638226,0.09,0,0.19,0,0,0,
ATT,25414495,0,0.78,0,-0.29,0.18,0.17,0,1,,,,,
PRX,25414616,2,14.34,0,8.66,0,6.84,0,8.89,0,0,180,6.84,
IMU,25434485,-0.000597736,-0.001009886,0.0007468419,-0.08686589,-0.171569,-9.801041,0,0,42.10516,1,1,1000,1000
IMU,25474422,-0.001323079,-0.001050283,0.0006767387,-0.1152023,-0.1690262,-9.7977,0,0,42.10809,1,1,1000,1000
CTUN,25514458,0,0,0,0.3241083,0.06649974,0.06649974,0.07,0,0.19,0,0,0,
ATT,25514569,0,0.78,0,-0.29,0.18,0.18,0,1,,,,,
PRX,25514796,2,16.33,0,8.61,0,6.85,0,8.92,0,0,180,6.85,
IMU,25514804,-0.001537484,0.000773826,0.001109566,-0.1066238,-0.1545391,-9.779446,0,0,42.10972,1,1,1000,1000
IMU,25554334,0.0005083898,-0.0006864912,0.0003093764,-0.09265241,-0.1778533,-9.816442,0,0,42.11047,1,1,1000,1000
IMU,25594525,-0.0009154965,0.000873681,2.34E-05,-0.1163131,-0.1838435,-9.826432,0,0,42.11045,1,1,1000,1000
CTUN,25614841,0,0,0,0.3241083,0.06653724,0.06653724,0.02,0,0.19,0,0,0,
ATT,25614897,0,0.78,0,-0.29,0.18,0.18,0,1,,,,,
PRX,25615019,2,14.38,0,8.65,0,6.84,0,8.87,0,0,180,6.84,
IMU,25634558,0.0006256188,-0.003207298,0.001080319,-0.1002419,-0.1613484,-9.831483,0,0,42.10971,1,1,1000,1000
