IMU,62901638,-0.0004279393,-0.001735735,0.0006857057,0.2025527,-0.05516291,-9.851659,0,0,44.12966,1,1,999,999,,,,
CTUN,62941451,0,0,0,0.3065111,0.07519253,0.07519253,0.53,0,0.19,0,0,0,,,,,
ATT,62941624,0,0.29,0,-0.25,0.43,0.43,0,1,,,,,,,,,
PRX,62941749,2,7.55,0,6.48,0,14.42,0,9.8,0,0,90,6.48,,,,,
IMU,62941756,-0.001060494,-0.0009643783,0.0004571899,0.2021422,-0.0469262,-9.803386,0,0,44.13434,1,1,999,999,,,,
IMU,62980792,-0.0009558869,-0.0008998492,-0.0001181118,0.1855594,-0.03544592,-9.816975,0,0,44.13969,1,1,999,999,,,,
IMU,63020684,-0.0001660133,-5.78E-06,0.0004222799,0.2096198,-0.0398779,-9.814467,0,0,44.14428,1,1,999,999,,,,
CTUN,63040700,0,0,0,0.3065111,0.0750356,0.0750356,0.48,0,0.19,0,0,0,,,,,
ATT,63040871,0,0.29,0,-0.26,0.43,0.44,0,1,,,,,,,,,
PRX,63041081,2,7.53,0,6.46,0,14.29,0,9.8,0,0,90,6.46,,,,,
IMU,63060733,0.0001127474,0.0001364658,0.0006012163,0.202028,-0.02448019,-9.860748,0,0,44.15024,1,1,999,999,,,,
IMU,63100727,-0.0009067628,-0.001065118,3.82E-05,0.1807711,-0.03827834,-9.826191,0,0,44.15503,1,1,999,999,,,,
CTUN,63140689,0,0,0,0.3065111,0.07496127,0.07496127,0.48,0,0.19,0,0,0,,,,,
ATT,63141338,0,0.29,0,-0.26,0.43,0.44,0,1,,,,,,,,,
PRX,63141470,2,7.56,0,6.51,0,14.44,0,9.83,0,0,90,6.51,,,,,
IMU,63141478,-0.001048495,-7.61E-05,-0.0006518936,0.19695,-0.03435724,-9.803187,0,0,44.16127,1,1,999,999,,,,
IMU,63180762,-0.000885707,-0.000971811,-0.001021468,0.201538,-0.05816702,-9.820526,0,0,44.16743,1,1,999,999,,,,
IMU,63220804,-0.0001092678,0.0002374563,-0.0003958064,0.1908053,-0.0326301,-9.845074,0,0,44.17464,1,1,999,999,,,,
CTUN,63240712,0,0,0,0.3065111,0.07472109,0.07472109,0.43,0,0.19,0,0,0,,,,,
ATT,63240813,0,0.29,0,-0.26,0.43,0.43,0,1,,,,,,,,,
PRX,63240940,2,7.56,0,6.46,0,14.38,0,9.85,0,0,90,6.46,,,,,
IMU,63260784,0.0002590692,-0.0002341036,-0.0006891417,0.1889775,-0.01555951,-9.844993,0,0,44.18248,1,1,999,999,,,,
IMU,63300680,-0.0005996661,-0.0008540188,0.0003090332,0.1903296,-0.03790437,-9.868597,0,0,44.18934,1,1,999,999,,,,
CTUN,63340660,0,0,0,0.3065111,0.07459861,0.07459861,0.5,0,0.19,0,0,0,,,,,
ATT,63340734,0,0.29,0,-0.26,0.43,0.44,0,1,,,,,,,,,
PRX,63340890,2,7.57,0,6.48,0,14.4,0,9.82,0,0,90,6.48,,,,,
IMU,63340897,-0.001586948,-0.001456985,9.81E-05,0.185891,-0.03247668,-9.829322,0,0,44.19659,1,1,999,999,,,,
IMU,63380618,0.0002061428,-0.0005512971,-0.0004922828,0.2144867,-0.02651755,-9.790651,0,0,44.20348,1,1,999,999,,,,
IMU,63421518,-0.0001536238,0.0004441388,-9.06E-06,0.2040064,-0.0456181,-9.828822,0,0,44.20902,1,1,999,999,,,,
CTUN,63440654,0,0,0,0.3065111,0.07441927,0.07441927,0.53,0,0.19,0,0,0,,,,,
ATT,63440724,0,0.29,0,-0.26,0.43,0.44,0,1,,,,,,,,,
PRX,63440878,2,7.56,0,6.49,0,14.47,0,9.82,0,0,90,6.49,,,,,
IMU,63461602,0.0001223671,-0.0006035324,-0.000401317,0.182004,-0.0336661,-9.83535,0,0,44.21472,1,1,999,999,,,,
IMU,63500875,-0.0001956831,-0.001916332,0.0006246609,0.1869939,-0.0296909,-9.846054,0,0,44.21892,1,1,999,999,,,,
CTUN,63540666,0,0,0,0.3065111,0.07427856,0.07427856,0.49,0,0.19,0,0,0,,,,,
ATT,63540887,0,0.29,0,-0.27,0.43,0.44,0,1,,,,,,,,,
PRX,63541084,2,7.51,0,6.46,0,14.35,0,9.82,0,0,90,6.46,,,,,
IMU,63541092,-0.000512505,-0.0004163646,0.000295861,0.2106837,-0.04880607,-9.811807,0,0,44.22486,1,1,999,999,,,,
IMU,63580698,-0.0005676307,-0.0009951923,-0.0005794278,0.2081939,-0.0235125,-9.828604,0,0,44.2324,1,1,999,999,,,,
IMU,63620589,-0.0005492508,-0.0007105492,0.0001063474,0.2060808,-0.01338592,-9.80964,0,0,44.2394,1,1,999,999,,,,
CTUN,63640569,0,0,0,0.3065111,0.07417104,0.07417104,0.44,0,0.19,0,0,0,,,,,
ATT,63640814,0,0.29,0,-0.27,0.43,0.44,0,1,,,,,,,,,
PRX,63640937,2,7.48,0,6.47,0,14.39,0,9.85,0,0,90,6.47,,,,,
IMU,63660626,0.0006756446,-0.0006668827,-0.0001356102,0.1874598,-0.06383969,-9.840935,0,0,44.24579,1,1,999,999,,,,
IMU,63700683,2.90E-05,-0.001659168,0.0005053304,0.1976754,-0.04462362,-9.832199,0,0,44.25292,1,1,999,999,,,,
CTUN,63740694,0,0,0,0.3065111,0.07410534,0.07410534,0.5,0,0.19,0,0,0,,,,,
ATT,63741276,0,0.29,0,-0.28,0.43,0.44,0,1,,,,,,,,,
PRX,63741406,2,7.5,0,6.49,0,14.39,0,9.87,0,0,90,6.49,,,,,
IMU,63741414,-0.001298449,-0.0002523138,0.0003390651,0.1966994,-0.05184005,-9.818723,0,0,44.25915,1,1,999,999,,,,
IMU,63780802,-0.0005530699,-0.002072404,0.0004019839,0.1723628,-0.04220319,-9.808559,0,0,44.2652,1,1,999,999,,,,
IMU,63820730,-0.0005539087,-0.001409228,-0.0005998083,0.2044113,-0.05126239,-9.830455,0,0,44.27246,1,1,999,999,,,,
CTUN,63841027,0,0,0,0.3065111,0.07409946,0.07409946,0.53,0,0.19,0,0,0,,,,,
ATT,63841164,0,0.29,0,-0.28,0.43,0.44,0,1,,,,,,,,,
PRX,63841287,2,7.49,0,6.48,0,14.31,0,9.83,0,0,90,6.48,,,,,
IMU,63860609,-0.0008819688,-0.00182239,0.0007036558,0.1776557,-0.02152234,-9.856311,0,0,44.2794,1,1,999,999,,,,
IMU,63900584,-0.0003000208,-0.0004421757,-0.0001907821,0.2059895,-0.02423943,-9.81274,0,0,44.28514,1,1,999,999,,,,
CTUN,63940730,0,0,0,0.3065111,0.07406204,0.07406204,0.48,0,0.19,0,0,0,,,,,
ATT,63941534,0,0.28,0,-0.28,0.44,0.44,0,1,,,,,,,,,
PRX,63941667,2,7.48,0,6.47,0,14.45,0,9.82,0,0,90,6.47,,,,,
IMU,63941674,-0.000787016,-0.0009418595,0.0009506684,0.2063991,-0.04630256,-9.827721,0,0,44.291,1,1,999,999,,,,
IMU,63980674,-0.0008804156,0.000431176,0.0002634612,0.2054082,-0.04281189,-9.846979,0,0,44.29729,1,1,999,999,,,,
IMU,64020734,-0.0005611744,-0.0008290753,0.0003140039,0.2186923,-0.02463686,-9.849866,0,0,44.30341,1,1,999,999,,,,
CTUN,64040629,0,0,0,0.3065111,0.07411583,0.07411583,0.51,0,0.19,0,0,0,,,,,
ATT,64040696,0,0.28,0,-0.29,0.44,0.45,0,1,,,,,,,,,
PRX,64040845,2,7.52,0,6.47,0,14.41,0,9.84,0,0,90,6.47,,,,,
IMU,64060773,-0.0009445394,-0.001605177,7.68E-06,0.1890715,-0.04147976,-9.845593,0,0,44.30862,1,1,999,999,,,,
IMU,64100795,-0.0003110261,-0.0003863994,0.0002077402,0.1999801,-0.04556782,-9.810955,0,0,44.31343,1,1,999,999,,,,
CTUN,64140658,0,0,0,0.3065111,0.07403468,0.07403468,0.57,0,0.19,0,0,0,,,,,
ATT,64140729,0,0.28,0,-0.29,0.44,0.45,0,1,,,,,,,,,
PRX,64140854,2,7.48,0,6.49,0,14.45,0,9.82,0,0,90,6.49,,,,,
IMU,64140861,0.0007001511,-0.001036299,-0.0001812134,0.2097808,-0.0395116,-9.816643,0,0,44.31687,1,1,999,999,,,,
IMU,64180722,0.001028276,-0.0004155108,-0.0006728438,0.1915652,-0.03655721,-9.863952,0,0,44.31986,1,1,999,999,,,,
IMU,64220728,0.0002365633,-0.001131918,1.45E-05,0.2156688,0.002237922,-9.821547,0,0,44.3214,1,1,999,999,,,,
CTUN,64240604,0,0,0,0.3065111,0.07403887,0.07403887,0.64,0,0.19,0,0,0,,,,,
ATT,64240739,0,0.28,0,-0.29,0.44,0.45,0,1,,,,,,,,,
PRX,64240886,2,7.51,0,6.49,0,14.44,0,9.81,0,0,90,6.49,,,,,
IMU,64260595,-0.0001281647,-0.001559849,-0.00616092,0.1140117,-0.0361144,-9.819683,0,0,44.32225,1,1,999,999,,,,
IMU,64300829,-0.001587101,0.001712708,0.01363543,0.07804722,-0.2704966,-9.771055,0,0,44.32265,1,1,999,999,,,,
CTUN,64340618,0,0,0,0.3065111,0.07400689,0.07400689,0.65,0,0.19,0,0,0,,,,,
ATT,64340805,0,0.28,0,-0.3,0.44,0.45,0,1,,,,,,,,,
PRX,64340928,2,7.51,0,6.48,0,14.39,0,9.81,0,0,90,6.48,,,,,
IMU,64340935,0.0002387619,-0.003238233,-0.009607762,0.4607192,0.2298051,-9.871482,0,0,44.32355,1,1,999,999,,,,
IMU,64380525,-0.002782633,-0.001187525,0.004097568,0.1442317,-0.120197,-9.801514,0,0,44.32407,1,1,999,999,,,,
IMU,64420585,-0.0005663285,-0.000802927,-0.003783561,0.06489471,-0.2182211,-9.843542,0,0,44.32393,1,1,999,999,,,,
CTUN,64440728,0,0,0,0.3065111,0.07395879,0.07395879,0.66,0,0.19,0,0,0,,,,,
ATT,64440948,0,0.28,0,-0.31,0.46,0.46,0,1,,,,,,,,,
PRX,64441137,2,7.54,0,6.47,0,14.39,0,9.82,0,0,90,6.47,,,,,
IMU,64461518,0.001392845,-0.003198332,0.00513099,0.3713861,0.1834473,-9.596901,0,0,44.32391,1,1,999,999,,,,
IMU,64501718,0.0006427864,-0.01220155,-0.03108063,0.01492613,-0.0458527,-9.770804,0,0,44.32407,1,1,999,999,,,,
CTUN,64540718,0,0,0,0.3065111,0.0738153,0.0738153,0.6,0,0.19,0,0,0,,,,,
ATT,64541033,0,0.28,0,-0.34,0.48,0.49,0,1,,,,,,,,,
PRX,64541158,2,7.51,0,6.5,0,14.39,0,9.82,0,0,90,6.5,,,,,
IMU,64541166,-0.003293004,-0.007128804,0.003797824,-0.05668027,0.268458,-9.811633,0,0,44.3242,1,1,999,999,,,,
IMU,64580742,0.0002013212,0.000380451,0.01134668,0.3033725,0.03802714,-9.57491,0,0,44.32424,1,1,999,999,,,,
IMU,64620898,0.009089583,-0.00502984,-0.00595709,0.09848376,-0.2379908,-9.629856,0,0,44.32421,1,1,999,999,,,,
CTUN,64641516,0,0,0,0.3065111,0.07362614,0.07362614,0.75,0,0.19,0,0,0,,,,,
ATT,64641594,0,0.28,0,-0.38,0.44,0.45,0,1,,,,,,,,,
